,user_id,account_id,deal_count,total_reading_count
338,9386746,,0,69
339,17309750,,0,53
340,33449504,,0,523
341,32832460,,0,37
342,31812997,,0,22
343,12067524,,0,26
344,36627496,,0,610
345,14037047,,0,15
346,14146132,,0,242
347,13950304,,0,59
348,21852587,,0,102
349,29819141,100028749,10,57
350,29819141,100021129,456,57
351,4267355,100155651,74,57
352,36088464,120834180,16,151
353,39708333,141928683,66,125
354,34293069,,0,417
355,35924507,,0,38
356,40270102,101163740,82,197
357,13946011,121493948,2675,253
358,40265215,122347369,806,55
359,29123368,140151706,587,711
360,40158626,101145763,17,37
361,38189753,,0,102
362,37631646,,0,98
363,38438247,121774250,4,24
364,34222588,,0,127
365,18175692,,0,17
366,8730563,101095869,36,347
367,38700987,122139894,246,544
368,1261765,,0,41
369,9571006,,0,33
370,29942169,,0,26
371,4714082,,0,46
372,38496266,,0,168
373,31405490,,0,39
374,40529652,,0,47
375,2084038,,0,23
376,13463167,,0,285
377,20763692,,0,52
378,3300098,,0,21
379,32446319,141769287,106,315
380,29155380,100544672,40,24
381,29155380,101057882,76,24
382,25868873,101084784,6,113
383,35180005,121155653,412,560
384,39910507,122215345,134,80
385,37965869,121407141,16,45
386,28872131,121842439,56,46
387,29732429,141069189,224,67
388,40235667,122335547,112,136
389,40143087,,0,67
390,36768705,122176938,142,83
391,36724878,120961416,42,41
392,36233271,122435093,4,96
393,26237811,,0,52
394,31549167,,0,232
395,16608226,100921208,209,311
396,27953525,141788414,1628,54
397,1864231,,0,182
398,38095021,,0,26
399,25333248,,0,15
400,26476123,,0,24
401,33073210,,0,5562
402,38840100,,0,20
403,38143440,,0,70
404,18669103,,0,151
405,6860985,,0,38
406,15953963,121390189,32,24
407,15953963,121390188,126,24
408,11502001,,0,42
409,28609938,,0,58
410,25675104,,0,27
411,31677035,,0,36
412,39232185,,0,25
413,35802512,,0,667
414,39943713,142079360,14,156
415,39943713,142004900,304,156
416,39941554,101113587,282,237
417,39475097,101052226,94,450
418,40128860,122294068,420,31
419,8786027,122277940,98,140
420,4905960,121965501,104,80
421,35552738,120644164,155,15
422,2213518,,0,19
423,7670692,,0,120
424,17733578,,0,73
425,37339524,100759923,120,23
426,4622964,101166332,82,94
427,33568225,122301452,159,15
428,40239007,142113136,116,124
429,37108558,141013246,4,33
430,14380203,,0,45
431,2412244,,0,40
432,37879715,100837989,159,18
433,33552630,,0,101
434,37619751,122224885,30,21
435,28950787,,0,55
436,16406213,121712129,261,23
437,39683268,122132273,722,119
438,34837507,120445287,198,15
439,26442275,,0,128
440,6816219,,0,145
441,21060458,,0,35
442,17766663,,0,1785
443,2384586,,0,250
444,36078911,,0,20
445,40151857,,0,204
446,38241877,,0,99
447,15623153,122118341,144,3539
448,5755382,,0,33
449,9344630,,0,24
450,29816930,,0,19
451,26948155,120267016,132,80
452,37585592,141175667,386,81
453,40414867,122404666,94,68
454,199148,,0,150
455,39015868,,0,17
456,24648422,,0,15
457,38677858,121765296,163,17
458,40475322,122424199,32,18
459,38897495,,0,17
460,39941250,142004412,5,30
461,40040108,101126933,2,20
462,40280991,122353375,54,25
463,40303485,122362728,176,22
464,37327286,121203969,206,28
465,37428361,,0,51
466,13940117,,0,204
467,34163913,,0,58
468,7925996,,0,123
469,26997665,,0,144
470,23144991,,0,153
471,9668816,,0,23
472,18388610,142086381,262,44
473,23757837,,0,22
474,15172218,,0,405
475,33592776,101146755,882,149
476,18211495,,0,164
477,39578299,,0,669
478,37746475,,0,122
479,369508,,0,17
480,27580527,,0,23
481,16588369,121275952,82,113
482,7940878,,0,54
483,11939247,,0,23
484,36626479,,0,164
485,31520635,,0,148
486,10339246,,0,21
487,39838881,122188276,48,22
488,40306130,,0,30
489,39820620,101095270,248,23
490,40104777,101136761,784,1737
491,40217544,122328593,48,71
492,29714503,,0,126
493,40452421,101190192,94,618
494,18400828,121547160,28,26
495,39734423,122150944,76,101
496,40193938,101151663,222,122
497,32123715,122269801,282,18
498,39413579,141825349,186,261
499,39544320,,0,320
500,40249738,122347076,28,82
501,13013858,,0,15
502,29075135,101197916,92,36
503,11679008,,0,23
504,12520813,121774664,524,38
505,34696340,140255006,2707,79
506,2673727,,0,267
507,35818731,121305945,127,43
508,11653289,,0,72
509,24557964,,0,145
510,31968028,,0,187
511,15163361,,0,79
512,7644473,,0,62
513,3276660,,0,49
514,23238641,,0,21
515,30928238,,0,72
516,38859081,,0,822
517,11070117,,0,647
518,17365187,121712412,152,95
519,38627958,121732276,473,24
520,35794227,100481223,138,20
521,36195405,120830535,158,115
522,40046594,122264979,48,259
523,38724805,121738371,40,35
524,28093403,141785539,32,15
525,38527132,101168281,61,555
526,40245934,101159512,148,423
527,17436048,100611121,86,3506
528,34292512,122307164,127,295
529,36403729,120882420,238,93
530,40402213,122399779,22,283
531,40139712,142074532,62,514
532,37515460,,0,59
533,33912163,,0,65
534,7502735,,0,428
535,38210596,121504114,26,56
536,26326063,,0,19
537,2016122,,0,328
538,14888967,121670920,132,20
539,35082683,120768343,702,265
540,13957534,121675167,39,21
541,4165466,,0,333
542,15408894,,0,138
543,29805246,,0,156
544,34414086,,0,384
545,34168884,,0,390
546,30585436,,0,73
547,31163878,,0,29
548,8989549,,0,65
549,21921944,,0,115
550,11367263,,0,45
551,7237463,,0,40
552,432158,,0,17
553,6584859,,0,20
554,17608580,,0,111
555,12123997,,0,23
556,14769716,,0,47
557,25860059,,0,23
558,23207910,,0,34
559,14784786,101130093,758,104
560,9825945,121709430,170,440
561,31302047,120898357,108,87
562,39928533,141999678,88,21
563,36796977,140913717,336,881
564,3237508,101123028,116,214
565,19282248,121468505,18,133
566,23117596,,0,119
567,14427574,,0,139
568,40379862,101179611,42,69
569,40152226,101144864,1610,190
570,27975921,122404103,118,53
571,39794219,141957932,106,343
572,36816980,,0,107
573,33322351,141715233,26,87
574,9162967,,0,27
575,327113,,0,137
576,40148490,122308101,20,103
577,29250939,122312689,452,624
578,29291552,140014657,214,304
579,36924221,121024495,38,543
580,11777111,,0,84
581,36931151,121027502,5,24
582,23346922,122195641,32,72
583,40171775,122310669,86,60
584,36471760,121777065,1276,26
585,16669967,121502030,207,68
586,18241306,,0,228
587,32722759,,0,133
588,12264459,,0,22
589,33597755,,0,32
590,39598383,,0,468
591,14807016,,0,28
592,39659564,122121323,38,30
593,39326327,101097733,74,110
594,38423290,121586956,234,25
595,31054589,122079163,212,99
596,38943919,141657580,352,84
597,40328797,142138277,52,104
598,29484491,,0,27
599,38616016,100939957,10,18
600,40146293,122300606,236,250
601,10148206,,0,61
602,40108813,122286829,57,24
603,18929333,101198174,28,54
604,28562547,120384008,39,38
605,35785568,140536177,270,100
606,35785568,140536143,334,100
607,32015154,122361043,2,19
608,40395611,101182190,32,240
609,40526876,101199862,65,21
610,35033732,140329728,217,35
611,12168409,,0,17
612,14205391,,0,207
613,39527230,101140091,324,357
614,39527230,101187284,4,357
615,39527230,101094129,500,357
616,26556544,,0,93
617,5893981,100305427,1,31
618,18668581,,0,86
619,9432059,,0,97
620,38034542,,0,45
621,15717001,,0,113
622,31386761,,0,59
623,33545536,,0,155
624,33569566,,0,21
625,40375212,,0,113
626,40079967,101132834,130,858
627,4173939,,0,104
628,3282674,,0,28
629,35383434,,0,169
630,15256988,,0,301
631,20710371,,0,144
632,21470755,,0,267
633,10071464,,0,32
634,27933929,,0,52
635,40106759,142062358,176,228
636,9133721,122254814,68,87
637,36099776,100546356,1918,33
638,40113835,101138165,1778,78
639,39855374,141978761,383,46
640,15273691,101058800,635,310
641,16656574,,0,20
642,26473109,120860453,124,36
643,40411107,122403371,260,35
644,25049301,,0,150
645,29346523,121025691,72,32
646,39927607,101165924,42,44
647,1420121,101074669,42,62
648,1420121,100343748,138,62
649,40147242,142077247,74,37
650,29480740,140481530,63,407
651,18552399,122400262,14,38
652,37788334,141250843,2,57
653,39371644,122005822,170,121
654,23250151,121241239,541,154
655,23250151,121310470,596,154
656,23250151,121225431,1361,154
657,38471188,121606876,720,86
658,40100255,142059810,33,33
659,38507647,,0,409
660,16691975,,0,49
661,29822474,,0,1049
662,39188013,121936164,5,141
663,2837630,,0,130
664,5039110,122304742,88,642
665,20607138,,0,104
666,32034861,,0,90
667,9103255,,0,319
668,38768043,100958804,1638,423
669,31504416,120169020,196,94
670,39866148,141980520,206,17
671,20339348,,0,25
672,33403012,120281179,30,35
673,40179044,122313419,199,577
674,23138562,101192117,90,480
675,39281808,121970973,78,24
676,39551995,,0,226
677,40478369,101193342,173,18
678,36349940,141789124,9,103
679,38506471,,0,135
680,34775917,120427095,64,937
681,38887053,100996549,1100,17
